pl_pw,sl_sw,plw_slw_ratio,Species
6.999999999999999,1.457142857142857,4.803921568627451,Iris-setosa
6.999999999999999,1.6333333333333335,4.285714285714285,Iris-setosa
6.5,1.46875,4.425531914893617,Iris-setosa
7.5,1.4838709677419353,5.054347826086957,Iris-setosa
6.999999999999999,1.3888888888888888,5.039999999999999,Iris-setosa
4.25,1.3846153846153848,3.069444444444444,Iris-setosa
4.666666666666667,1.352941176470588,3.4492753623188412,Iris-setosa
7.5,1.4705882352941178,5.1,Iris-setosa
6.999999999999999,1.517241379310345,4.613636363636362,Iris-setosa
15.0,1.5806451612903227,9.489795918367346,Iris-setosa
7.5,1.4594594594594594,5.138888888888889,Iris-setosa
8.0,1.411764705882353,5.666666666666666,Iris-setosa
13.999999999999998,1.5999999999999999,8.75,Iris-setosa
11.0,1.4333333333333333,7.674418604651163,Iris-setosa
5.999999999999999,1.45,4.137931034482758,Iris-setosa
3.75,1.2954545454545454,2.8947368421052633,Iris-setosa
3.25,1.3846153846153848,2.347222222222222,Iris-setosa
4.666666666666667,1.457142857142857,3.2026143790849675,Iris-setosa
5.666666666666667,1.5000000000000002,3.7777777777777772,Iris-setosa
5.0,1.3421052631578947,3.7254901960784315,Iris-setosa
8.5,1.5882352941176472,5.351851851851851,Iris-setosa
3.75,1.3783783783783783,2.7205882352941178,Iris-setosa
5.0,1.2777777777777777,3.91304347826087,Iris-setosa
3.4,1.5454545454545454,2.2,Iris-setosa
9.499999999999998,1.411764705882353,6.729166666666665,Iris-setosa
8.0,1.6666666666666667,4.8,Iris-setosa
4.0,1.4705882352941178,2.7199999999999998,Iris-setosa
7.5,1.4857142857142858,5.0480769230769225,Iris-setosa
6.999999999999999,1.5294117647058825,4.576923076923076,Iris-setosa
8.0,1.46875,5.446808510638298,Iris-setosa
8.0,1.5483870967741935,5.166666666666667,Iris-setosa
3.75,1.5882352941176472,2.3611111111111107,Iris-setosa
15.0,1.2682926829268295,11.826923076923075,Iris-setosa
6.999999999999999,1.3095238095238095,5.345454545454545,Iris-setosa
15.0,1.5806451612903227,9.489795918367346,Iris-setosa
5.999999999999999,1.5625,3.8399999999999994,Iris-setosa
6.5,1.5714285714285714,4.136363636363637,Iris-setosa
15.0,1.5806451612903227,9.489795918367346,Iris-setosa
6.5,1.4666666666666668,4.431818181818182,Iris-setosa
7.5,1.5,5.0,Iris-setosa
4.333333333333334,1.4285714285714286,3.0333333333333337,Iris-setosa
4.333333333333334,1.956521739130435,2.214814814814815,Iris-setosa
6.5,1.375,4.7272727272727275,Iris-setosa
2.666666666666667,1.4285714285714286,1.866666666666667,Iris-setosa
4.749999999999999,1.3421052631578947,3.539215686274509,Iris-setosa
4.666666666666667,1.5999999999999999,2.916666666666667,Iris-setosa
8.0,1.3421052631578947,5.96078431372549,Iris-setosa
6.999999999999999,1.4374999999999998,4.869565217391305,Iris-setosa
7.5,1.4324324324324322,5.235849056603774,Iris-setosa
6.999999999999999,1.5151515151515151,4.619999999999999,Iris-setosa
3.3571428571428577,2.1875,1.5346938775510206,Iris-versicolor
3.0,2.0,1.5,Iris-versicolor
3.266666666666667,2.2258064516129035,1.4676328502415459,Iris-versicolor
3.0769230769230766,2.3913043478260874,1.2867132867132864,Iris-versicolor
3.0666666666666664,2.3214285714285716,1.321025641025641,Iris-versicolor
3.4615384615384612,2.035714285714286,1.7004048582995948,Iris-versicolor
2.9375,1.9090909090909092,1.538690476190476,Iris-versicolor
3.3,2.041666666666667,1.6163265306122445,Iris-versicolor
3.538461538461538,2.2758620689655173,1.5547785547785544,Iris-versicolor
2.785714285714286,1.9259259259259258,1.4464285714285716,Iris-versicolor
3.5,2.5,1.4,Iris-versicolor
2.8000000000000003,1.9666666666666668,1.423728813559322,Iris-versicolor
4.0,2.727272727272727,1.4666666666666668,Iris-versicolor
3.3571428571428577,2.103448275862069,1.596018735362998,Iris-versicolor
2.769230769230769,1.9310344827586206,1.434065934065934,Iris-versicolor
3.1428571428571432,2.161290322580645,1.4541577825159917,Iris-versicolor
3.0,1.8666666666666665,1.6071428571428572,Iris-versicolor
4.1,2.148148148148148,1.9086206896551725,Iris-versicolor
3.0,2.818181818181818,1.0645161290322582,Iris-versicolor
3.545454545454545,2.2399999999999998,1.5827922077922076,Iris-versicolor
2.6666666666666665,1.84375,1.4463276836158192,Iris-versicolor
3.0769230769230766,2.1785714285714284,1.4123581336696092,Iris-versicolor
